bench,BLOCK_SIZE,n,t
commit,262144,1,5.070400000000002e-05
commit,262144,2,5.3868e-05
commit,262144,3,5.716033333333335e-05
commit,262144,4,5.897690625e-05
commit,262144,5,6.1340175e-05
commit,262144,6,6.319768750000002e-05
commit,262144,7,6.504560714285715e-05
commit,262144,8,6.702692187499998e-05
commit,262144,9,6.843058333333333e-05
commit,262144,10,6.98007e-05
commit,262144,11,7.076948863636364e-05
commit,262144,12,7.179382291666666e-05
commit,262144,13,7.272730769230769e-05
commit,262144,14,7.364904464285715e-05
commit,262144,15,7.447175833333333e-05
commit,262144,16,7.54103359375e-05
commit,262144,17,7.611924264705884e-05
commit,262144,18,7.691024305555553e-05
commit,262144,19,7.751669736842105e-05
commit,262144,20,7.8269975e-05
commit,262144,21,7.897162500000001e-05
commit,262144,22,7.962669318181818e-05
commit,262144,23,8.021788043478261e-05
commit,262144,24,8.081998958333334e-05
commit,262144,25,8.140294999999999e-05
commit,262144,26,8.194592788461538e-05
commit,262144,27,8.23286388888889e-05
commit,262144,28,8.277467857142857e-05
commit,262144,29,8.318921120689656e-05
commit,262144,30,8.357829166666665e-05
commit,262144,31,8.397260080645162e-05
commit,262144,32,8.439117187499999e-05
commit,262144,33,8.47412196969697e-05
commit,262144,34,8.505305514705882e-05
commit,262144,35,8.545776785714286e-05
commit,262144,36,8.579468750000002e-05
commit,262144,37,8.613121621621623e-05
commit,262144,38,8.652318092105263e-05
commit,262144,39,8.68591314102564e-05
commit,262144,40,8.727827187500001e-05
commit,262144,41,8.764373170731708e-05
commit,262144,42,8.803258928571427e-05
commit,262144,43,8.838418895348835e-05
commit,262144,44,8.878811363636364e-05
commit,262144,45,8.916845555555556e-05
commit,262144,46,8.947004076086957e-05
commit,262144,47,8.980695478723403e-05
commit,262144,48,9.011575260416666e-05
commit,262144,49,9.044873469387755e-05
commit,262144,50,9.080443750000001e-05
commit,262144,51,9.112301715686275e-05
commit,262144,52,9.14381971153846e-05
commit,262144,53,9.175050235849057e-05
commit,262144,54,9.202367824074075e-05
commit,262144,55,9.234486363636366e-05
commit,262144,56,9.262347544642858e-05
commit,262144,57,9.288470614035088e-05
commit,262144,58,9.315236206896554e-05
commit,262144,59,9.341113347457627e-05
commit,262144,60,9.363098333333334e-05
commit,262144,61,9.389342213114753e-05
commit,262144,62,9.41568689516129e-05
commit,262144,63,9.436502579365078e-05
