BLOCK_SIZE,n,t
1048576,1,5.0704e-05
1048576,2,5.3868e-05
1048576,3,5.7032e-05
1048576,4,5.8834e-05
1048576,5,6.18136e-05
1048576,6,6.353633333333333e-05
1048576,7,6.511857142857144e-05
1048576,8,6.7404e-05
1048576,9,6.820488888888889e-05
1048576,10,6.97246e-05
1048576,11,7.0968e-05
1048576,12,7.172566666666666e-05
1048576,13,7.271169230769231e-05
1048576,14,7.391457142857144e-05
1048576,15,7.47112e-05
1048576,16,7.583125e-05
1048576,17,7.679364705882352e-05
1048576,18,7.716077777777777e-05
1048576,19,7.792873684210527e-05
1048576,20,7.86199e-05
1048576,21,7.920333333333333e-05
1048576,22,7.960181818181818e-05
1048576,23,8.03095652173913e-05
1048576,24,8.102425e-05
1048576,25,8.153424e-05
1048576,26,8.194415384615385e-05
1048576,27,8.263296296296295e-05
1048576,28,8.294292857142856e-05
1048576,29,8.333158620689655e-05
1048576,30,8.393459999999999e-05
1048576,31,8.448451612903227e-05
1048576,32,8.47885625e-05
1048576,33,8.475987878787879e-05
1048576,34,8.497847058823529e-05
1048576,35,8.54934857142857e-05
1048576,36,8.572844444444444e-05
1048576,37,8.59388108108108e-05
1048576,38,8.614968421052631e-05
1048576,39,8.651871794871796e-05
1048576,40,8.68803e-05
1048576,41,8.728429268292683e-05
1048576,42,8.762090476190475e-05
1048576,43,8.78906976744186e-05
1048576,44,8.821418181818181e-05
1048576,45,8.857217777777777e-05
1048576,46,8.883239130434783e-05
1048576,47,8.909089361702127e-05
1048576,48,8.940825e-05
1048576,49,8.968036734693878e-05
1048576,50,9.005579999999999e-05
1048576,51,9.028380392156863e-05
1048576,52,9.06078076923077e-05
1048576,53,9.099924528301887e-05
1048576,54,9.118896296296296e-05
1048576,55,9.135101818181818e-05
1048576,56,9.171607142857143e-05
1048576,57,9.204828070175439e-05
1048576,58,9.240389655172413e-05
1048576,59,9.272508474576271e-05
1048576,60,9.300186666666667e-05
1048576,61,9.329550819672131e-05
1048576,62,9.34265806451613e-05
1048576,63,9.367904761904762e-05
1048576,64,9.398959375e-05
1048576,65,9.435135384615384e-05
1048576,66,9.462230303030303e-05
1048576,67,9.488516417910447e-05
1048576,68,9.508205882352942e-05
1048576,69,9.534339130434784e-05
1048576,70,9.558468571428571e-05
1048576,71,9.581918309859154e-05
1048576,72,9.605938888888889e-05
1048576,73,9.628698630136986e-05
1048576,74,9.650843243243244e-05
1048576,75,9.670637333333334e-05
1048576,76,9.676607894736842e-05
1048576,77,9.691784415584415e-05
1048576,78,9.702623076923077e-05
1048576,79,9.731886075949368e-05
1048576,80,9.755467500000001e-05
1048576,81,9.77196049382716e-05
1048576,82,9.780014634146342e-05
1048576,83,9.786814457831325e-05
1048576,84,9.803916666666666e-05
1048576,85,9.809757647058823e-05
1048576,86,9.824660465116279e-05
1048576,87,9.850335632183907e-05
1048576,88,9.875427272727273e-05
1048576,89,9.89156179775281e-05
1048576,90,9.903426666666667e-05
1048576,91,9.933094505494505e-05
1048576,92,9.945206521739131e-05
1048576,93,9.956584946236559e-05
1048576,94,9.980348936170213e-05
1048576,95,9.992507368421052e-05
1048576,96,0.00010014027083333333
1048576,97,0.00010024680412371135
1048576,98,0.00010044085714285713
1048576,99,0.00010053775757575757
1048576,100,0.00010065472000000001
1048576,101,0.00010073887128712872
1048576,102,0.00010092049019607843
1048576,103,0.00010093644660194175
1048576,104,0.00010119296153846153
1048576,105,0.00010147392380952381
1048576,106,0.00010157128301886792
1048576,107,0.0001017448598130841
1048576,108,0.0001018379074074074
1048576,109,0.0001020703486238532
1048576,110,0.00010223865454545455
1048576,111,0.000102396
1048576,112,0.00010264080357142858
